Day of Week,Date,Subways: % of Comparable Pre-Pandemic Day,7-day Averge,Subway Mobility Index,Avg. Ridership
5,2020-05-08,0.09300000000000001,0.0948571428571429,109.4857142857143,456258.4285714286
6,2020-05-09,0.099,0.09457142857142863,109.45714285714286,454975.28571428574
7,2020-05-10,0.131,0.09742857142857149,109.74285714285715,456854.4285714286
1,2020-05-11,0.096,0.0981428571428572,109.81428571428573,458131.4285714286
2,2020-05-12,0.096,0.09900000000000006,109.89999999999999,462603.85714285716
3,2020-05-13,0.096,0.10028571428571434,110.02857142857142,470702
4,2020-05-14,0.096,0.10100000000000006,110.1,475318
5,2020-05-15,0.10300000000000001,0.10242857142857147,110.24285714285715,484163.5714285714
6,2020-05-16,0.106,0.10342857142857147,110.34285714285714,490443.14285714284
7,2020-05-17,0.11,0.10042857142857146,110.04285714285716,492643.4285714286
1,2020-05-18,0.107,0.10200000000000005,110.2,503329.5714285714
2,2020-05-19,0.10400000000000001,0.10314285714285719,110.31428571428572,511567.4285714286
3,2020-05-20,0.106,0.10457142857142862,110.45714285714286,519918.85714285716
4,2020-05-21,0.111,0.10671428571428576,110.67142857142858,528783.4285714285
5,2020-05-22,0.11699999999999999,0.10871428571428576,110.87142857142858,535375.5714285715
6,2020-05-23,0.11199999999999999,0.10957142857142863,110.95714285714287,531792.8571428572
7,2020-05-24,0.126,0.1118571428571429,111.18571428571428,536453
1,2020-05-25,0.151,0.11814285714285719,111.81428571428572,507575
2,2020-05-26,0.121,0.12057142857142862,112.05714285714285,514144.71428571426
3,2020-05-27,0.11900000000000001,0.12242857142857147,112.24285714285716,521417.85714285716
4,2020-05-28,0.115,0.12300000000000004,112.3,525543.7142857143
5,2020-05-29,0.114,0.12257142857142862,112.25714285714285,528890
6,2020-05-30,0.135,0.12585714285714292,112.58571428571429,541819.2857142857
7,2020-05-31,0.136,0.12728571428571434,112.72857142857143,545255.2857142857
1,2020-06-01,0.124,0.12342857142857147,112.34285714285714,587278.2857142857
2,2020-06-02,0.126,0.1241428571428572,112.41428571428571,592612.1428571428
3,2020-06-03,0.11900000000000001,0.1241428571428572,112.41428571428571,593659.5714285715
4,2020-06-04,0.127,0.12585714285714292,112.58571428571429,603483.8571428572
5,2020-06-05,0.124,0.12728571428571434,112.72857142857143,610122.7142857143
6,2020-06-06,0.142,0.12828571428571434,112.82857142857144,615473
7,2020-06-07,0.146,0.12971428571428575,112.97142857142856,620281.1428571428
1,2020-06-08,0.153,0.1338571428571429,113.38571428571429,637083.7142857143
2,2020-06-09,0.147,0.1368571428571429,113.6857142857143,658325.4285714285
3,2020-06-10,0.146,0.14071428571428576,114.07142857142858,683431.8571428572
4,2020-06-11,0.14400000000000002,0.14314285714285718,114.31428571428572,696554
5,2020-06-12,0.157,0.1478571428571429,114.78571428571429,724195.2857142857
6,2020-06-13,0.17,0.1518571428571429,115.1857142857143,735784.7142857143
7,2020-06-14,0.185,0.15742857142857147,115.74285714285715,743264.8571428572
1,2020-06-15,0.165,0.1591428571428572,115.91428571428573,756520.1428571428
2,2020-06-16,0.16699999999999998,0.16200000000000006,116.20000000000002,769459.7142857143
3,2020-06-17,0.166,0.1648571428571429,116.48571428571428,782536.2857142857
4,2020-06-18,0.166,0.16800000000000007,116.80000000000001,800314.1428571428
5,2020-06-19,0.17800000000000002,0.17100000000000004,117.10000000000001,813223.5714285715
6,2020-06-20,0.174,0.17157142857142862,117.15714285714287,817618.4285714285
7,2020-06-21,0.171,0.16957142857142862,116.95714285714287,820340
1,2020-06-22,0.185,0.17242857142857146,117.24285714285713,835075.4285714285
2,2020-06-23,0.19,0.17571428571428577,117.57142857142857,851998.2857142857
3,2020-06-24,0.185,0.17842857142857146,117.84285714285714,869171
4,2020-06-25,0.191,0.18200000000000008,118.20000000000002,888697.8571428572
5,2020-06-26,0.20199999999999999,0.18542857142857147,118.54285714285714,905243.1428571428
6,2020-06-27,0.193,0.1881428571428572,118.81428571428572,910955.5714285715
7,2020-06-28,0.177,0.18900000000000006,118.9,923382.8571428572
1,2020-06-29,0.212,0.1928571428571429,119.28571428571428,937813.2857142857
2,2020-06-30,0.209,0.1955714285714286,119.55714285714285,946742.5714285715
3,2020-07-01,0.215,0.1998571428571429,119.9857142857143,954216.1428571428
4,2020-07-02,0.22399999999999998,0.20457142857142863,120.45714285714286,967336.4285714285
5,2020-07-03,0.313,0.22042857142857147,122.04285714285714,931410.4285714285
6,2020-07-04,0.228,0.22542857142857148,122.54285714285716,928012
7,2020-07-05,0.231,0.23314285714285718,123.31428571428572,927688
1,2020-07-06,0.212,0.23314285714285718,123.31428571428572,925415.4285714285
2,2020-07-07,0.212,0.2335714285714286,123.35714285714286,931712.2857142857
3,2020-07-08,0.21100000000000002,0.23300000000000004,123.30000000000001,939125.2857142857
4,2020-07-09,0.221,0.23257142857142862,123.25714285714287,944982.8571428572
5,2020-07-10,0.191,0.21514285714285722,121.51428571428573,970659.1428571428
6,2020-07-11,0.22899999999999998,0.21528571428571433,121.52857142857142,985158.2857142857
7,2020-07-12,0.258,0.21914285714285717,121.91428571428571,998686.5714285715
